alias,canonical_term,category,risk_level,risk_score,rec_action,why_flagged,source_tier
33-mer gliadin peptide,gliadin,gluten_protein,CONTAINS_GLUTEN,3,reject,well-known immunogenic gliadin peptide,NIH
ale,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
ale extract,beer/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,ale-derived ingredient term,GIG
all-purpose flour,wheat,wheat_ingredient,LIKELY_CONTAINS_GLUTEN,2,reject,often wheat flour in recipes,CDF/GIG
alpha gliadin,gliadin,gluten_protein,CONTAINS_GLUTEN,3,reject,gliadin protein subclass,NIH
alpha-gliadin,gliadin,gluten_protein,CONTAINS_GLUTEN,3,reject,gliadin protein subclass,NIH
artificial flavor,artificial flavor,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
artificial flavors,artificial flavors,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
artisan tortilla chips,mixed grains,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,may include wheat grains,CDF
atta,atta,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
atta flour,atta flour,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
autolysed yeast extract,autolysed yeast extract,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
autolyzed yeast extract,autolyzed yeast extract,ambiguous_or_requires_source_check,AMBIGUOUS_VERIFY_SOURCE,1,verify,term can be gluten-containing depending on source/formulation or commonly appears in hidden-gluten contexts,GIG/CDF/FDA
avena sativa,oats,latin_scientific_name,CONTEXT_DEPENDENT,1,verify,oats are context dependent for celiac due certification/cross-contact issues,GIG/FDA/CDF
bagel,bagel,wheat_variety_or_common_food,CONTAINS_GLUTEN,3,reject,common wheat variety or wheat-based food commonly listed as gluten-containing,CDF/GIG
banger sausage,banger sausage,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
barbecue sauce,barbecue sauce,high_risk_food_phrase,AMBIGUOUS_VERIFY_SOURCE,1,verify,high-risk food phrase commonly associated with hidden gluten; verify ingredient list or source,GIG/CDF
barley,barley,gluten_grain,CONTAINS_GLUTEN,3,reject,core gluten-containing grain,FDA/CDF/NIH
barley enzymes,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,barley-derived processing aid,CDF
barley extract,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,barley-derived extract,GIG
barley flakes,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,barley form,CDF
barley flour,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,explicit barley ingredient,CDF
barley grits,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,barley form,CDF
barley malt,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,barley-derived malt,CDF/GIG
barley malt extract,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
barley malt flavoring,barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,explicit malt flavoring,CDF
barley malt flour,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
barley malt powder,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
barley malt syrup,malt/barley,barley_malt_brewing,CONTAINS_GLUTEN,3,reject,barley/malt or non-distilled brewing term associated with gluten-containing grains,CDF/GIG
barley meal,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,barley form,CDF
barley sugar,barley,barley_derivative,CONTAINS_GLUTEN,3,reject,traditional barley confection term,GIG
